ID,HousePrice,yhat,delta
7857,919497.0,660072.2972680626,259424.7027319374
1641,283680.0,289177.7929764437,-5497.792976443714
3620,135818.0,166619.49465333688,-30801.49465333688
2820,468742.0,398384.28451047547,70357.71548952453
1572,311065.0,389518.48995961953,-78453.48995961953
202,228740.0,198964.59339845268,29775.40660154732
8169,260611.0,294784.6602290216,-34173.660229021625
6212,199843.0,210704.12894275776,-10861.128942757758
6754,273619.0,260715.3736456326,12903.626354367414
5197,334528.0,313213.81469183473,21314.185308165266
5170,371797.0,411610.5104903481,-39813.5104903481
3987,129547.0,124654.76735315607,4892.232646843928
8088,241878.0,193002.0131398495,48875.9868601505
1181,544164.0,503632.3739617062,40531.62603829382
5703,233936.0,248737.9866851341,-14801.986685134092
7979,340244.0,310809.2917819943,29434.70821800572
2546,673459.0,670056.0497525128,3402.9502474871697
5831,219892.0,261525.2134259638,-41633.2134259638
2288,136479.0,178225.26147093181,-41746.261470931815
7372,284417.0,262588.54457176215,21828.455428237852
8553,401696.0,313633.7453586321,88062.25464136788
605,400036.0,503496.15571380855,-103460.15571380855
7343,502384.0,454250.3455286311,48133.65447136888
6956,432570.0,460794.6943775056,-28224.694377505628
6787,271336.0,208790.67410792483,62545.32589207517
8790,259581.0,283810.4471893384,-24229.44718933839
8875,368614.0,391362.910185265,-22748.910185265006
5222,449834.0,440874.4668988777,8959.533101122302
6583,268084.0,249646.315230394,18437.684769606014
4457,326357.0,410688.68794281315,-84331.68794281315
3798,513051.0,499357.119905585,13693.880094414984
8692,484256.0,663018.1510235487,-178762.15102354868
9185,391848.0,499098.7214877868,-107250.7214877868
9170,289229.0,303536.62959075504,-14307.629590755037
6922,396836.0,580543.2495697736,-183707.24956977356
1816,299874.0,315679.89577785775,-15805.895777857746
889,453808.0,389502.65466081526,64305.34533918474
2315,197244.0,197667.9296204294,-423.9296204294078
3837,348815.0,331519.1229527244,17295.8770472756
8611,573658.0,570293.0438141219,3364.956185878138
5917,269948.0,237208.23188195456,32739.76811804544
6719,133645.0,110666.40868751111,22978.59131248889
5994,367737.0,461829.06115696393,-94092.06115696393
9266,252230.0,233527.08907518655,18702.91092481345
4038,104509.0,110147.0910040271,-5638.091004027097
2556,559989.0,429561.0490637213,130427.95093627868
3330,300314.0,334262.3749358184,-33948.37493581843
9027,112586.0,108427.708390415,4158.291609584994
486,225432.0,228535.07529446142,-3103.0752944614214
5064,421310.0,469407.7428881114,-48097.74288811139
3314,357001.0,317730.6816098021,39270.31839019788
3744,204498.0,224537.28449130623,-20039.28449130623
5128,346301.0,348038.07411785057,-1737.0741178505705
8075,467567.0,500779.01749931776,-33212.017499317764
1626,722563.0,495440.58463263145,227122.41536736855
5519,547190.0,661481.5677073203,-114291.56770732033
5771,309847.0,310550.4840914173,-703.4840914172819
1845,361572.0,292972.61357139144,68599.38642860856
3905,173822.0,198822.96684345062,-25000.966843450617
3335,315375.0,294000.7889939373,21374.211006062687
1027,153949.0,149949.79327695534,3999.2067230446555
8618,225252.0,184473.11250397057,40778.887496029434
7935,121715.0,128954.68730080608,-7239.687300806079
4478,543538.0,530295.173434722,13242.826565277996
2515,338222.0,379112.01059302496,-40890.010593024956
3447,159984.0,207905.65659826284,-47921.65659826284
3961,260012.0,307037.3378898744,-47025.33788987441
268,92160.0,103867.35095876527,-11707.350958765266
2075,244701.0,347106.5991173398,-102405.59911733982
5778,397709.0,320338.43160433427,77370.56839566573
4947,246083.0,309295.4019083481,-63212.40190834808
2216,308541.0,395211.84400090604,-86670.84400090604
8493,483930.0,532347.9092897432,-48417.90928974317
4607,390569.0,351020.59719480237,39548.402805197635
2396,136502.0,162244.48871719968,-25742.48871719968
7620,303201.0,278092.78070013685,25108.21929986315
4459,443205.0,484239.6123099767,-41034.612309976714
8289,91960.0,102294.0775406559,-10334.077540655897
163,354225.0,294044.1970851759,60180.802914824104
8805,358049.0,320916.50105650554,37132.49894349446
552,237726.0,242246.69830777426,-4520.6983077742625
4382,278715.0,260358.13461399614,18356.86538600386
7172,380327.0,364550.824878883,15776.175121116976
9230,268497.0,242860.3664343456,25636.633565654396
2488,175443.0,187796.6504487152,-12353.650448715198
3146,234366.0,239121.18097177113,-4755.180971771129
7483,131104.0,150609.0015386639,-19505.0015386639
5621,70388.0,307433.88646551035,-237045.88646551035
9061,136715.0,144194.71876436332,-7479.718764363322
4088,300611.0,272716.9795339458,27894.020466054208
6314,84167.0,86505.47826132805,-2338.478261328055
6731,235395.0,258214.87038191155,-22819.870381911547
5398,102631.0,111667.6617764911,-9036.661776491106
5919,283927.0,317357.8778175093,-33430.87781750929
2968,218429.0,239920.3408754099,-21491.340875409893
8672,227943.0,222186.8582221303,5756.141777869692
7664,234858.0,272464.97813793214,-37606.978137932136
6624,304836.0,261739.76243663466,43096.23756336534
4709,201634.0,233239.6531311526,-31605.65313115259
677,362552.0,376496.1478535029,-13944.147853502887
7094,535201.0,448635.73082477326,86565.26917522674
7284,320779.0,330822.0837406526,-10043.083740652597
6367,199533.0,196636.26020973927,2896.7397902607336
1828,159227.0,179574.8943197786,-20347.8943197786
1058,560275.0,634478.061788549,-74203.06178854895
3365,277449.0,331102.03977134,-53653.03977133997
7245,462874.0,520203.6727509529,-57329.67275095289
2788,527478.0,525017.8756274142,2460.124372585793
7362,200722.0,213889.65317868374,-13167.653178683744
7244,143531.0,146893.3518731129,-3362.3518731129006
3596,137796.0,123416.87294832563,14379.127051674368
3633,174855.0,213510.91871292976,-38655.918712929764
1139,379752.0,317743.7664307413,62008.23356925871
9226,265919.0,275003.04707653075,-9084.047076530755
1449,324651.0,297135.10848809587,27515.891511904134
8239,372556.0,370654.14796154323,1901.8520384567673
7398,485423.0,400301.69475841074,85121.30524158926
6009,469064.0,387251.9699855084,81812.03001449158
6862,147590.0,153119.52172029208,-5529.521720292076
8022,591995.0,557658.3451301322,34336.65486986784
5340,202187.0,259694.1279280289,-57507.1279280289
4740,101356.0,67465.57074945798,33890.429250542016
4124,421334.0,410720.4538535764,10613.546146423614
8689,375529.0,413027.81555296,-37498.815552959975
7436,485696.0,443349.0346419937,42346.9653580063
148,349625.0,324707.310894942,24917.689105057972
1337,394795.0,464403.42941929563,-69608.42941929563
248,168700.0,236836.90459876295,-68136.90459876295
6511,241135.0,291438.71664137085,-50303.71664137085
